Replication,Treatment,LEM rate (L/m2),PO4 mg/kg  
1,1,1.8,31.53750892
1,2,3.6,67.36331451
1,3,0,147.8090727
1,4,1.8,101.5121298
1,5,1.8,64.50118586
1,6,3.6,95.3653465
1,7,0,117.0285088
1,8,3.6,84.05944184
1,9,0,92.67886289
2,1,0,50.19393105
2,2,3.6,54.21268893
2,3,1.8,134.8260698
2,4,0,113.5520368
2,5,3.6,109.3091301
2,6,1.8,117.5673016
2,7,3.6,79.58464817
2,8,0,71.93478701
2,9,1.8,66.1689758
3,1,3.6,20.99045866
3,2,1.8,31.10522666
3,3,0,39.51982211
3,4,1.8,59.03140736
3,5,0,77.07754355
3,6,3.6,30.30367815
3,7,0,76.29415609
3,8,1.8,28.05408129
3,9,3.6,17.6741973
4,1,1.8,58.7541607
4,2,0,51.5755165
4,3,1.8,72.19104309
4,4,3.6,63.87118853
4,5,0,40.84044889
4,6,3.6,41.45302282
4,7,1.8,69.05489471
4,8,3.6,49.26450171
4,9,0,12.01851877
